Tensao,Derivada,2aDerivada,Bateria
3.836 ,0.01725,-0.00075,1
3.835 ,0.016875,-0.00075,1
3.833 ,0.016875,-0.001125,1
3.832 ,0.017,-0.00025,1
3.830 ,0.016875,-0.000625,1
3.828 ,0.017125,-0.0005,1
3.826 ,0.017,-0.000375,1
3.825 ,0.01725,0.000125,1
3.823 ,0.017,0,1
3.821 ,0.01675,-0.0005,1
3.820 ,0.01675,-0.0005,1
3.818 ,0.017,0.000125,1
3.816 ,0.016875,0,1
3.815 ,0.016875,-0.000125,1
3.813 ,0.017125,0.00025,1
3.811 ,0.0165,-0.000625,1
3.810 ,0.01675,-0.00025,1
3.808 ,0.016625,-0.000625,1
3.806 ,0.016625,-0.000375,1
3.805 ,0.0165,-0.00025,1
3.803 ,0.016375,-0.000375,1
3.802 ,0.0165,-0.0005,1
3.800 ,0.0165,-0.000375,1
3.798 ,0.016625,-0.00025,1
3.797 ,0.016,-0.001125,1
3.795 ,0.0165,0,1
3.793 ,0.0165,-0.00025,1
3.792 ,0.01625,-0.000375,1
3.790 ,0.016125,-0.0005,1
3.789 ,0.016375,-0.000125,1
3.787 ,0.016375,0,1
3.785 ,0.0165,0,1
3.784 ,0.01625,-0.00025,1
3.782 ,0.016125,-0.0005,1
3.780 ,0.016375,0.000375,1
3.779 ,0.016125,-0.000375,1
3.777 ,0.015875,-0.000625,1
3.776 ,0.016,-0.00025,1
3.774 ,0.0165,0.000375,1
3.773 ,0.016,-0.000375,1
3.771 ,0.016,-0.000375,1
3.769 ,0.01575,-0.00075,1
3.767 ,0.016125,-0.000125,1
3.766 ,0.016125,0,1
3.764 ,0.016125,-0.00025,1
3.763 ,0.016125,0,1
3.761 ,0.015875,0,1
3.760 ,0.01625,0.00025,1
3.758 ,0.015625,-0.000875,1
3.756 ,0.01625,0.00025,1
3.755 ,0.015875,-0.000125,1
3.753 ,0.015875,0.000125,1
3.752 ,0.015875,-0.00025,1
3.750 ,0.0155,-0.000625,1
3.749 ,0.015625,-0.0005,1
3.747 ,0.015625,-0.0005,1
3.746 ,0.015875,0,1
